index,City,Card Type,Exp Type,Gender,Month,DayOfWeek,IsWeekend,Cluster_KMeans,Cluster_KPrototypes,Log_Amount,Amount_Category,Amount
0,126,0,0,0,10,2,0,1,0,0.07854242404301766,1.0,1.0817092446683891
1,170,1,0,0,8,4,0,3,3,0.03115233740256765,0.0,1.031642649678258
2,71,3,0,0,8,2,0,1,0,0.09624502666479819,1.0,1.1010288123625978
3,170,2,0,0,4,5,1,0,2,0.11580641269894232,2.0,1.1227784954346327
4,71,0,0,0,5,1,0,2,1,0.15791776912448988,2.0,1.1710698926456664
5,126,3,0,0,9,0,0,1,0,0.09469345719019398,1.0,1.099321814272189
6,126,0,0,0,2,1,0,2,1,0.1333612550314463,2.0,1.142662716433718
7,170,1,0,0,6,3,0,2,1,0.1401231087458983,2.0,1.1504154163390408
8,126,3,0,0,3,4,0,0,2,0.17546779075893643,3.0,1.1918036009435626
9,126,1,0,0,9,0,0,1,0,0.06496674604723253,1.0,1.0671235377184396
10,126,1,0,0,6,6,1,0,2,0.24676278834900692,4.0,1.2798754753919477
11,170,2,0,0,12,5,1,3,3,0.24517469658352103,4.0,1.2778445287802687
12,170,0,0,0,8,3,0,3,3,0.018109535765181525,0.0,1.0182745077587174
13,126,2,0,0,4,6,1,0,2,0.22641658823292604,4.0,1.254097998940899
14,170,2,0,0,8,4,0,3,3,0.2644508172908585,4.0,1.3027153505463998
16,170,2,0,0,6,5,1,0,2,0.35214093531156787,4.0,1.4221089349615674
18,170,1,0,0,3,5,1,0,2,0.19282015496918445,3.0,1.2126646821894507
20,126,2,0,0,4,4,0,0,2,0.31201057723961456,4.0,1.3661691432514402
24,8,0,0,0,3,2,0,2,1,0.291997660238821,4.0,1.339099884461704
26,71,1,0,0,3,6,1,0,2,0.36095213413943306,4.0,1.434694786334387
30,71,2,0,0,7,3,0,3,3,0.2029783408415972,3.0,1.2250459344962048
31,170,0,0,0,2,2,0,2,1,0.259618933727107,4.0,1.296435964504068
32,8,1,0,0,11,6,1,3,3,0.20486773576688758,3.0,1.2273627180384166
34,8,2,0,0,9,5,1,3,3,0.3652616227154855,4.0,1.4408909286390552
36,8,2,0,0,1,2,0,2,1,0.227390182174111,4.0,1.2553195757177014
37,8,3,0,0,7,5,1,3,3,0.2906786153656837,4.0,1.3373347160485902
39,126,3,0,0,2,1,0,2,1,0.33755854309593336,4.0,1.4015216554070318
44,71,1,0,0,4,5,1,0,2,0.23283773311901224,4.0,1.2621766532406888
45,71,0,0,0,9,0,0,1,0,0.22240511740259294,4.0,1.2490772983295089
47,8,1,0,0,11,0,0,1,0,0.272725053581347,4.0,1.313539042315901
48,170,0,0,0,6,6,1,0,2,0.2732899119276065,4.0,1.3142812153986874
52,8,2,0,0,12,5,1,3,3,0.3382374222203637,4.0,1.4024734422388754
55,71,3,0,0,5,2,0,2,1,0.3160181904645159,4.0,1.3716552064444694
56,8,2,0,0,1,2,0,2,1,0.28234275174535806,4.0,1.3262332108413435
57,126,1,0,0,12,1,0,1,0,0.24597101832544663,4.0,1.278862509427604
61,71,1,0,0,3,4,0,0,2,0.3444837533423047,4.0,1.4112611727137057
65,126,1,0,0,1,3,0,2,1,0.29276205948708545,4.0,1.3401238827286295
66,71,0,0,0,11,6,1,3,3,0.23522110068287144,4.0,1.265188471845564
67,170,1,0,0,12,4,0,3,3,0.30618156736482127,4.0,1.3582288942022243
71,126,3,0,0,2,1,0,2,1,0.36590317783364373,4.0,1.441815636182743
83,8,2,0,0,1,1,0,2,1,0.248992834613797,4.0,1.2827328417606754
84,71,0,0,0,3,3,0,2,1,0.34987947729304125,4.0,1.4188965290370203
89,71,0,0,0,1,6,1,0,2,0.2836003264548844,4.0,1.3279020973410145
91,126,2,0,0,2,4,0,0,2,0.3143094094411501,4.0,1.3693133494872989
98,170,3,0,0,8,1,0,1,0,0.2204053996543811,4.0,1.2465819920727892
105,8,1,0,0,11,6,1,3,3,0.34686874775438997,4.0,1.4146310396841955
106,71,2,0,0,2,2,0,2,1,0.34266350109868615,4.0,1.4086946579585025
112,8,3,0,0,11,4,0,3,3,0.3698699962070484,4.0,1.447546415905772
113,71,1,0,0,10,0,0,1,0,0.323752677910836,4.0,1.3823053901824542
117,8,2,0,0,4,0,0,2,1,0.3655330465858885,4.0,1.4412820739124155
120,126,0,0,0,10,4,0,3,3,0.3592176630417502,4.0,1.4322085065070527
121,71,3,0,0,4,3,0,2,1,0.205170034711797,3.0,1.2277338045798096
128,126,0,0,0,1,0,0,2,1,0.2744392527466994,4.0,1.3157926408524159
135,8,2,0,0,7,0,0,1,0,0.21936457601381934,4.0,1.2452851950511097
139,126,0,0,0,3,0,0,2,1,0.2022559927366951,3.0,1.2241613444164514
142,126,0,0,0,3,4,0,0,2,0.20557268567969947,3.0,1.2282282523228012
143,71,3,0,0,1,4,0,0,2,0.26051514668830617,4.0,1.297598368021567
146,8,2,0,0,8,3,0,3,3,0.356671032478349,4.0,1.4285658407818091
147,8,2,0,0,3,2,0,2,1,0.24284013702468205,4.0,1.2748648041465411
149,8,2,0,0,11,2,0,1,0,0.21186575954763437,3.0,1.2359819551647222
150,71,2,0,0,9,3,0,3,3,0.3652386526993603,4.0,1.4408578317313092
154,126,3,0,0,9,1,0,1,0,0.21926792489448388,4.0,1.2451648426593065
155,126,1,0,0,1,4,0,0,2,0.3112343076933734,4.0,1.3651090392669736
159,126,3,0,0,1,0,0,2,1,0.19830580326641453,3.0,1.219335213505143
163,71,1,0,0,5,5,1,0,2,0.3223579172934536,4.0,1.3803787489770047
165,126,0,0,0,4,3,0,2,1,0.2074392589070272,3.0,1.2305229712598489
173,8,1,0,0,10,0,0,1,0,0.3720653138386069,4.0,1.45072773079577
174,71,2,0,0,5,4,0,0,2,0.19776525670886308,3.0,1.2186762841600205
180,8,3,0,0,9,1,0,1,0,0.30175755090756917,4.0,1.352233339217228
181,8,0,0,0,3,2,0,2,1,0.29472689936574875,4.0,1.3427596001091195
182,71,2,0,0,2,3,0,2,1,0.22220114933975102,4.0,1.2488225524335252
184,71,2,0,0,12,4,0,3,3,0.36142039415669747,4.0,1.4353667538552883
186,126,0,0,0,1,3,0,2,1,0.2828258656392133,4.0,1.3268740873276956
187,71,0,0,0,12,3,0,3,3,0.33389509678253965,4.0,1.3963966493894122
189,170,0,0,0,1,4,0,0,2,0.28777283409497,4.0,1.3334543543495354
191,71,3,0,0,3,2,0,2,1,0.2830692242921167,4.0,1.3271970329123675
197,170,1,0,0,8,4,0,3,3,0.31173304012275066,4.0,1.3657900332172601
202,8,0,0,0,10,6,1,3,3,0.3458969813898378,4.0,1.413257016544442
210,71,0,0,0,12,6,1,3,3,0.33382183444660196,4.0,1.3962943498563796
214,170,2,0,0,4,3,0,2,1,0.18601772661177968,3.0,1.2044436108926937
217,126,2,0,0,1,2,0,2,1,0.26058316112285035,4.0,1.2976866264422229
220,126,1,0,0,8,6,1,3,3,0.32109652965087315,4.0,1.3786386539788502
221,170,3,0,0,5,5,1,0,2,0.28824882173128624,4.0,1.3340892132162974
226,8,0,0,0,4,5,1,0,2,0.3730748422548817,4.0,1.452193021165974
229,126,1,0,0,2,6,1,0,2,0.33907090452316285,4.0,1.403642866312563
232,8,2,0,0,12,3,0,3,3,0.29241549442613224,4.0,1.3396595230835888
236,126,2,0,0,5,6,1,0,2,0.1884337904034248,3.0,1.2073571417109297
