Ship_Type,Route_Type,Engine_Type,Maintenance_Status,Speed_Over_Ground_knots,Engine_Power_kW,Distance_Traveled_nm,Draft_meters,Weather_Condition,Cargo_Weight_tons,Operational_Cost_USD,Revenue_per_Voyage_USD,Turnaround_Time_hours,Efficiency_nm_per_kWh,Seasonal_Impact_Score,Weekly_Voyage_Count,Average_Load_Percentage,Cluster
Fish Carrier,Short-haul,Steam Turbine,Good,10.3875798788566,1796.05741507181,1060.48638231184,14.6530828297178,Rough,162.394711562484,483388.000508794,883765.787360197,63.2481963091378,0.290361352754807,0.885647774072864,6,93.8953722962748,3
Container Ship,Long-haul,Diesel,Fair,20.749746644202,1648.55668454807,658.874144134334,7.19926134265017,Moderate,178.040916604711,448543.404043785,394018.746903576,49.4181500496163,0.49959452358255,1.40581316898843,9,96.218244427848,0
Bulk Carrier,Transoceanic,Steam Turbine,Fair,21.0551020149059,915.261794889644,1126.82251911185,11.789062538756,Moderate,1737.38534611181,261349.605449281,87551.3751751491,22.4091095800045,0.702905708262176,1.37070427843141,1,66.1936984493522,2
Fish Carrier,Transoceanic,Diesel,Fair,13.742776795818,1089.72180282865,1445.28115892925,9.72783331795553,Moderate,260.595103346619,287718.375160341,676121.459632196,64.158231375658,1.33134309275014,0.583383352305391,8,80.0085807179776,3
Fish Carrier,Long-haul,Heavy Fuel Oil (HFO),Fair,18.6161956117415,2171.64656743052,723.304214719695,14.9163195623317,Rough,1912.50975109475,184569.045383727,776698.354848939,47.4761546495512,1.37020600866975,1.43772500490441,7,53.1748976588026,1
Fish Carrier,Transoceanic,Heavy Fuel Oil (HFO),Critical,20.4331185727861,2505.04350862148,270.118588011265,8.45526416996712,Rough,1191.43641244225,434449.263514218,739431.825389734,29.040419667251,1.1203894034357,0.602931648375234,3,58.5086352695452,3
Container Ship,Short-haul,Diesel,Critical,23.4980477694957,814.806452442906,1717.32841327466,9.28377990192107,Moderate,318.449264606534,348380.608231595,462211.402199033,52.4786003904205,0.695974585163841,1.40866338331281,6,94.5919723118904,2
Container Ship,Long-haul,Diesel,Fair,23.2271005121683,2685.40165372905,1588.79228214527,11.721261230899,Calm,1843.43825243866,149790.209290586,615230.85749116,63.7427609458003,0.440676184115645,1.43556871641947,2,79.4513301770737,0
Fish Carrier,Short-haul,Steam Turbine,Fair,11.6351094139827,2522.69719447588,1224.84626700542,10.9005403178059,Moderate,1130.60462994059,299189.329946974,749334.914232474,47.6653305726044,0.43783554817627,1.1052601927334,9,70.5044475568421,3
Tanker,Transoceanic,Diesel,Good,18.2535772609089,2129.51789511891,1311.97857657923,11.9556479335995,Rough,441.259968937049,481866.261633374,738063.171299633,48.1856659250998,1.22706420918911,0.941448135875289,4,65.9847040596016,3
Container Ship,Short-haul,Steam Turbine,Good,10.2253424317622,1599.12610713957,1499.72361128786,11.1365760918888,Moderate,389.154398145401,481846.657435417,738287.282190947,65.532195053102,0.575151208506226,0.539990670571696,3,84.0878022754275,2
